item_code,sku,name,category,brand,pack_size,batch_number,expiry_date,cost_price,list_price,discount_percent,final_price,stock_quantity,product_page_url,is_active,Pricing_Tiers,display_order,haya_featured,haya_badge,nameAr,descriptionAr,categoryAr,image_url
MED-001,Self-Tanning Gradual Lotion,Self-Tanning Gradual Lotion,Sun Care,La Roche-Posay,1 unit,AB,,4,30,0,4,450,/products/med-001,checked,,1,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-002,SPF 50+ Invisible Fluid Sunscreen,SPF 50+ Invisible Fluid Sunscreen,Sun Care,ISDIN,1 unit,AB,,4,25,0,4,380,/products/med-002,checked,,2,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-003,Hydrating Face Mist,Hydrating Face Mist,Skincare,Neutrogena,1 unit,AB,,4,10,0,4,290,/products/med-003,checked,,3,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-004,SPF 50+ Kids Sunscreen Lotion,SPF 50+ Kids Sunscreen Lotion,Sun Care,ISDIN,1 unit,AB,,6,20,0,6,180,/products/med-004,checked,,4,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-005,Firming Body Butter,Firming Body Butter,Body & Hair,OGX,1 unit,AB,,6,15,0,6,155,/products/med-005,checked,,5,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-006,LED Light Therapy Face Mask,LED Light Therapy Face Mask,Pro Tools,FOREO,1 unit,AB,,6,199,0,6,120,/products/med-006,checked,,6,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-007,Setting Powder Translucent,Setting Powder Translucent,Cosmetics,Rare Beauty,1 unit,AB,,19,30,0,19,65,/products/med-007,checked,,7,,,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-008,Multi-Action BB Cream SPF 30,Multi-Action BB Cream SPF 30,Cosmetics,La Roche-Posay,1 unit,AB,,3,45,0,3,800,/products/med-008,checked,,8,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-009,Nano Mist Facial Sprayer,Nano Mist Facial Sprayer,Pro Tools,NuFace,1 unit,AB,,3,49,0,3,650,/products/med-009,checked,,9,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-010,Oil-Free Gel Moisturiser,Oil-Free Gel Moisturiser,Skincare,Neutrogena,1 unit,AB,,2,15,0,2,900,/products/med-010,checked,,10,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-011,Volumising Mascara Black,Volumising Mascara Black,Cosmetics,Charlotte Tilbury,1 unit,AB,,2,32,0,2,1200,/products/med-011,checked,,11,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-012,Resveratrol 3% Antioxidant Serum,Resveratrol 3% Antioxidant Serum,Serums & Actives,Paula's Choice,1 unit,AB,,1,55,0,1,950,/products/med-012,checked,,12,,Flash Deal,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-013,Exfoliating Sugar Body Scrub,Exfoliating Sugar Body Scrub,Body & Hair,Moroccanoil,1 unit,AB,,1,15,0,1,780,/products/med-013,checked,,13,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-014,Jade Roller & Gua Sha Set,Jade Roller & Gua Sha Set,Pro Tools,PMD,1 unit,AB,,1,69,0,1,560,/products/med-014,checked,,14,,Top Seller,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
MED-015,Longwear Concealer,Longwear Concealer,Cosmetics,NARS,1 unit,AB,,2,30,0,2,2000,/products/med-015,checked,,15,,Urgent,,,,https://images.unsplash.com/photo-1571781926291-c477ebfd024b?w=400&q=80
